# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 3K of event 'cycles:u'
# Event count (approx.): 46459387386
#
# Overhead       Samples  Command      Shared Object         Symbol                                      
# ........  ............  ...........  ....................  ............................................
#
    25.40%           951  python       python3.10            [.] _PyEval_EvalFrameDefault
    11.36%           414  python       python3.10            [.] long_bitwise.lto_priv.0
     7.13%           260  python       python3.10            [.] object_dealloc.lto_priv.0
     4.75%           173  python       python3.10            [.] list_subscript.lto_priv.0
     4.17%           156  python       python3.10            [.] _PyObject_GenericGetAttrWithDict
     2.82%           103  python       python3.10            [.] long_add.lto_priv.0
     2.63%            96  python       python3.10            [.] long_mod.lto_priv.0
     2.49%            91  python       python3.10            [.] _PyLong_New
     2.47%            90  python       python3.10            [.] long_rshift.lto_priv.0
     2.47%            90  python       python3.10            [.] binary_op1.lto_priv.0
     1.51%            55  python       python3.10            [.] long_rshift1.lto_priv.0
     1.27%            46  python       python3.10            [.] _PyType_Lookup
     1.18%            43  python       python3.10            [.] PyLong_FromLong
     1.07%            39  python       python3.10            [.] x_sub.lto_priv.0
     1.05%            39  python       python3.10            [.] PyObject_GetItem
     0.89%            33  python       python3.10            [.] rangeiter_next.lto_priv.0
     0.83%            33  python       python3.10            [.] _PyObject_GetMethod
     0.82%            31  python       python3.10            [.] PyObject_GetAttr
     0.67%            31  python       python3.10            [.] lookdict_unicode_nodummy.lto_priv.0
     0.66%            24  python       python3.10            [.] binary_op.lto_priv.0
     0.61%            25  python       python3.10            [.] _PyEval_MakeFrameVector
     0.61%            34  python       python3.10            [.] deduce_unreachable
     0.60%            22  python       python3.10            [.] range_from_array.lto_priv.0
     0.59%            23  python       python3.10            [.] frame_dealloc.lto_priv.0
     0.55%            20  python       python3.10            [.] long_invert.part.0
     0.55%            20  python       python3.10            [.] PyNumber_Add
     0.52%            19  python       python3.10            [.] list_ass_subscript.lto_priv.0
     0.51%            19  python       python3.10            [.] list_dealloc.lto_priv.0
     0.50%            25  python       python3.10            [.] update_one_slot.lto_priv.0
     0.45%            19  python       libc.so.6             [.] __memmove_avx_unaligned_erms_rtm
     0.44%            16  python       python3.10            [.] long_invert.lto_priv.0
     0.43%            19  python       python3.10            [.] lookdict_unicode.lto_priv.0
     0.42%            16  python       python3.10            [.] _Py_Dealloc
     0.41%            15  python       python3.10            [.] _PyLong_Negate.lto_priv.0
     0.41%            15  python       python3.10            [.] list_slice.lto_priv.0
     0.40%            20  python       python3.10            [.] gc_collect_main.lto_priv.0
     0.40%            18  python       python3.10            [.] tupledealloc.lto_priv.0
     0.38%            18  python       python3.10            [.] _PyUnicode_FromUCS1.lto_priv.0
     0.34%            16  python       python3.10            [.] PyDict_SetDefault
     0.33%            12  python       python3.10            [.] range_iter.lto_priv.0
     0.32%            18  python       python3.10            [.] r_object
