# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 3K of event 'cycles:u'
# Event count (approx.): 44838591919
#
# Overhead       Samples  Command      Shared Object                          Symbol                                        
# ........  ............  ...........  .....................................  ..............................................
#
    15.58%           570  python       python3.10                             [.] _PyEval_EvalFrameDefault
     5.13%           183  python       python3.10                             [.] _PyUnicode_JoinArray
     3.94%           143  python       python3.10                             [.] _PyObject_Malloc
     3.14%           112  python       python3.10                             [.] PyList_Append
     3.04%           108  python       _json.cpython-310-x86_64-linux-gnu.so  [.] py_encode_basestring_ascii
     2.99%           108  python       python3.10                             [.] _PyObject_Free
     2.98%           108  python       libc.so.6                              [.] __memmove_avx_unaligned_erms_rtm
     2.72%           103  python       python3.10                             [.] lookdict_unicode_nodummy
     2.36%            84  python       _json.cpython-310-x86_64-linux-gnu.so  [.] encoder_listencode_dict.isra.0
     2.10%            76  python       python3.10                             [.] PyUnicode_New
     1.81%            65  python       python3.10                             [.] convertitem
     1.61%            58  python       python3.10                             [.] lookdict
     1.59%            58  python       python3.10                             [.] _PyType_Lookup
     1.58%            57  python       python3.10                             [.] _PyEval_MakeFrameVector
     1.57%            57  python       python3.10                             [.] _PyUnicode_FromId
     1.52%            56  python       python3.10                             [.] frame_dealloc
     1.52%            54  python       python3.10                             [.] list_ass_slice
     1.36%            50  python       python3.10                             [.] _PyObject_GenericGetAttrWithDict
     1.30%            47  python       python3.10                             [.] vgetargskeywords
     1.30%            47  python       python3.10                             [.] unicode_dealloc
     1.30%            47  python       python3.10                             [.] PyDict_GetItemWithError
     1.18%            42  python       python3.10                             [.] _PyAccu_Accumulate
     1.05%            39  python       python3.10                             [.] tupledealloc
     1.01%            36  python       _json.cpython-310-x86_64-linux-gnu.so  [.] encoder_listencode_obj.isra.0
     1.00%            40  python       python3.10                             [.] gc_collect_main
     0.98%            35  python       python3.10                             [.] PyDict_Next
     0.90%            33  python       python3.10                             [.] _PyObject_GetMethod
     0.89%            33  python       python3.10                             [.] lookdict_split
     0.82%            30  python       python3.10                             [.] _Py_NewReference
     0.70%            28  python       python3.10                             [.] lookdict_unicode
     0.61%            22  python       python3.10                             [.] _PyFrame_New_NoTrack
     0.59%            21  python       python3.10                             [.] long_to_decimal_string_internal
     0.58%            21  python       python3.10                             [.] PyObject_GetAttr
     0.56%            20  python       _json.cpython-310-x86_64-linux-gnu.so  [.] encoder_encode_string
     0.51%            21  python       python3.10                             [.] r_object
     0.50%            18  python       python3.10                             [.] _PyDict_GetItemHint
     0.48%            17  python       python3.10                             [.] PyDict_DelItem
     0.48%            17  python       python3.10                             [.] long_hash
     0.47%            17  python       libc.so.6                              [.] __strchr_avx2_rtm
     0.47%            17  python       python3.10                             [.] _Py_CheckFunctionResult
     0.44%            18  python       python3.10                             [.] visit_decref
     0.44%            16  python       python3.10                             [.] insert_to_emptydict
     0.44%            16  python       python3.10                             [.] _PyObject_MakeTpCall
     0.41%            15  python       python3.10                             [.] _PyTuple_FromArray
     0.40%            15  python       python3.10                             [.] insertdict
     0.38%            14  python       python3.10                             [.] tuple_alloc
     0.36%            13  python       python3.10                             [.] _Py_Dealloc
     0.35%            14  python       python3.10                             [.] visit_reachable
     0.34%            12  python       python3.10                             [.] _PyObject_Realloc
     0.33%            12  python       python3.10                             [.] PyMethod_New
     0.33%            12  python       python3.10                             [.] dict_dealloc
     0.31%            11  python       _json.cpython-310-x86_64-linux-gnu.so  [.] 0x0000000000003560
     0.30%            11  python       python3.10                             [.] _PyObject_GC_New
